Genes	Log2_Mut_vs_WT
CYP38	5.52
RABH1A	4.67
FBA3	4.32
CAC3	4.09
PSAK	4.08
FLR1	4.04
At4g21650	4.01
BXL1	3.82
VDAC3	3.77
HSP70-18	3.66
RPS14B	3.20
RPL29	2.92
PHB3	2.86
At2g05920	2.84
LEC	2.82
RPSaA	2.82
PPL1	2.77
NUP155	2.65
AOC1	2.64
RBG8	2.63
ATRZ-1A	2.62
F20D21.23	2.57
At3g43520	2.49
At2g28720	2.39
RBG7	2.36
HTR4	2.35
RPP0A	2.26
HTR2	2.25
ATJ3	2.23
RPS15C	2.22
RPS6B	2.22
EIF(ISO)4G1	2.14
RPL18C	2.13
At5g47210	2.02
XTH4	2.02
KAS1	1.98
At1g24360	1.95
PME3	1.93
GRF1	1.92
ACBP4	1.90
At1g07660	1.88
RPL12B	1.87
RPL18AB	1.86
LPD1	1.85
ATL5	1.84
LHCB4.1	1.82
RPS5B	1.78
RPL1	1.76
A2	1.74
At3g02090	1.73
ATSDI1	1.71
psbB	1.70
T21B14.11	1.69
APX3	1.67
TIF4A-1	1.66
HEXO3	1.64
APG	1.62
psbH	1.55
PED1	1.52
LCKB2	1.51
VHA-B1	1.50
RPL11B	1.50
T6H22.13	1.47
TUBB3	1.41
RBP31	1.38
PAP3	1.33
CPN60A1	1.31
GAPC2	1.31
DI19-1	1.31
atpH	1.28
RPL40B	1.25
GSA2	1.23
TIM	1.22
RABD2B	1.17
PQL2	1.17
GAUT6	1.16
PGDH1	1.13
CAT3	1.12
RPL3A	1.12
TKL-1	1.12
TUBA3	1.11
RPL4	1.09
rps5	1.09
VDAC2	1.07
VHA-A	1.07
ATPC	1.04
ESM1	1.02
At1g60070	1.01
At3g07700	0.99
ATPA	0.98
At3g63540	0.97
ELF5A-2	0.93
PSAE2	0.91
PAP2	0.91
RPS8A	0.90
CR88	0.89
TUFA	0.86
AAC2	0.84
PGRL1B	0.78
At5g05200	0.78
MYA6.6	0.78
FTSZ2-2	0.78
At1g29670	0.78
At5g08690	0.77
rps4	0.76
CPN60B1	0.75
MS1	0.75
PGPS1	0.74
BGLU44	0.72
GLB1	0.72
DTC	0.72
At3g47520	0.71
accD	0.71
TOC34	0.70
